SYMBOL,TYPE
FLWS,COMMON STOCK
TXG,COMMON STOCK
TURN,COMMON STOCK
ATNF,COMMON STOCK
BCOW,COMMON STOCK
SRCE,COMMON STOCK
DIBS,COMMON STOCK
XXII,COMMON STOCK
ME,COMMON STOCK
TSVT,COMMON STOCK
SCWO,COMMON STOCK
FDMT,COMMON STOCK
FEAM,COMMON STOCK
SXTP,COMMON STOCK
ETNB,COMMON STOCK
MASS,COMMON STOCK
AMRK,COMMON STOCK
AZ,COMMON STOCK
AADI,COMMON STOCK
AAON,COMMON STOCK
ABL,COMMON STOCK
ABCL,COMMON STOCK
ABEO,COMMON STOCK
ABTS,COMMON STOCK
ABLV,COMMON STOCK
ABVE,COMMON STOCK
ABP,COMMON STOCK
ABSI,COMMON STOCK
ABVC,COMMON STOCK
ACIU,COMMON STOCK
ACTG,COMMON STOCK
ASO,COMMON STOCK
ACHC,COMMON STOCK
ACAD,COMMON STOCK
AXDX,COMMON STOCK
ACCD,COMMON STOCK
ARAY,COMMON STOCK
SLRN,COMMON STOCK
ACHV,COMMON STOCK
ACIW,COMMON STOCK
ACON,COMMON STOCK
ACRS,COMMON STOCK
ACMR,COMMON STOCK
ACNB,COMMON STOCK
ACRV,COMMON STOCK
ASNS,COMMON STOCK
ACTU,COMMON STOCK
ABOS,COMMON STOCK
ACXP,COMMON STOCK
ACVA,COMMON STOCK
ADGM,COMMON STOCK
AHCO,COMMON STOCK
ADPT,COMMON STOCK
ATXG,COMMON STOCK
ADUS,COMMON STOCK
ADEA,COMMON STOCK
ADIL,COMMON STOCK
ACET,COMMON STOCK
ADTX,COMMON STOCK
ADMA,COMMON STOCK
ADBE,COMMON STOCK
ADSE,COMMON STOCK
ADTN,COMMON STOCK
ADUR,COMMON STOCK
AEIS,COMMON STOCK
AFCG,COMMON STOCK
AMD,COMMON STOCK
ADV,COMMON STOCK
ADN,COMMON STOCK
ADVM,COMMON STOCK
AEHR,COMMON STOCK
AMTX,COMMON STOCK
AERT,COMMON STOCK
AVTE,COMMON STOCK
AVAV,COMMON STOCK
ASLE,COMMON STOCK
AEMD,COMMON STOCK
LIDR,COMMON STOCK
AFMD,COMMON STOCK
AFBI,COMMON STOCK
AFRM,COMMON STOCK
AFYA,COMMON STOCK
ATPC,COMMON STOCK
AGEN,COMMON STOCK
AGYS,COMMON STOCK
AGIO,COMMON STOCK
AGMH,COMMON STOCK
AGNC,COMMON STOCK
ANSC,COMMON STOCK
AGRI,COMMON STOCK
AGFY,COMMON STOCK
AITR,COMMON STOCK
ALRN,COMMON STOCK
AFJK,COMMON STOCK
AIMD,COMMON STOCK
AIRT,COMMON STOCK
ATSG,COMMON STOCK
ABNB,COMMON STOCK
AIRG,COMMON STOCK
AIRJ,COMMON STOCK
AIRS,COMMON STOCK
AISP,COMMON STOCK
AKAM,COMMON STOCK
AKAN,COMMON STOCK
AKBA,COMMON STOCK
AKRO,COMMON STOCK
AKTS,COMMON STOCK
AKYA,COMMON STOCK
ALRM,COMMON STOCK
TCRT,COMMON STOCK
ALCY,COMMON STOCK
ALDX,COMMON STOCK
ALEC,COMMON STOCK
ALRS,COMMON STOCK
ASTL,COMMON STOCK
RIME,COMMON STOCK
ALCO,COMMON STOCK
ALGN,COMMON STOCK
ALHC,COMMON STOCK
ALGS,COMMON STOCK
ALKT,COMMON STOCK
ALKS,COMMON STOCK
ALLK,COMMON STOCK
ALLR,COMMON STOCK
BIRD,COMMON STOCK
ALGT,COMMON STOCK
ALGM,COMMON STOCK
AENT,COMMON STOCK
ARLP,COMMON STOCK
LNT,COMMON STOCK
AGAE,COMMON STOCK
ALNT,COMMON STOCK
ALLO,COMMON STOCK
ALLT,COMMON STOCK
ALVR,COMMON STOCK
ALNY,COMMON STOCK
AOSL,COMMON STOCK
ACOG,COMMON STOCK
ALSA,COMMON STOCK
DRTS,COMMON STOCK
ATGL,COMMON STOCK
TKNO,COMMON STOCK
GOOG,COMMON STOCK
GOOGL,COMMON STOCK
ATEC,COMMON STOCK
ATMC,COMMON STOCK
AEI,COMMON STOCK
ALTS,COMMON STOCK
ALTR,COMMON STOCK
CYTO,COMMON STOCK
ALCE,COMMON STOCK
ALTI,COMMON STOCK
ALT,COMMON STOCK
ASPS,COMMON STOCK
ALTO,COMMON STOCK
ALMS,COMMON STOCK
ALVO,COMMON STOCK
ALXO,COMMON STOCK
ALZN,COMMON STOCK
AMAL,COMMON STOCK
AMZN,COMMON STOCK
AMBA,COMMON STOCK
AMCX,COMMON STOCK
DOX,COMMON STOCK
AMED,COMMON STOCK
CRMT,COMMON STOCK
AAL,COMMON STOCK
ABAT,COMMON STOCK
ACIC,COMMON STOCK
AEP,COMMON STOCK
AMLI,COMMON STOCK
AOUT,COMMON STOCK
APEI,COMMON STOCK
AREB,COMMON STOCK
AREC,COMMON STOCK
AMSC,COMMON STOCK
AMWD,COMMON STOCK
AMSF,COMMON STOCK
ASRV,COMMON STOCK
ATLO,COMMON STOCK
AMST,COMMON STOCK
AMGN,COMMON STOCK
FOLD,COMMON STOCK
AMKR,COMMON STOCK
POWW,COMMON STOCK
AMRX,COMMON STOCK
AMPH,COMMON STOCK
AMPG,COMMON STOCK
AMPL,COMMON STOCK
ASYS,COMMON STOCK
AMLX,COMMON STOCK
ANTX,COMMON STOCK
ADI,COMMON STOCK
ANAB,COMMON STOCK
AVXL,COMMON STOCK
POLE,COMMON STOCK
ANEB,COMMON STOCK
ANGH,COMMON STOCK
ANGI,COMMON STOCK
ANGO,COMMON STOCK
ANIP,COMMON STOCK
ANIK,COMMON STOCK
ANIX,COMMON STOCK
ANNX,COMMON STOCK
ANSS,COMMON STOCK
AEHL,COMMON STOCK
ATEX,COMMON STOCK
APA,COMMON STOCK
APLS,COMMON STOCK
APOG,COMMON STOCK
APGE,COMMON STOCK
APLM,COMMON STOCK
APPF,COMMON STOCK
APPN,COMMON STOCK
AAPL,COMMON STOCK
APLD,COMMON STOCK
APDN,COMMON STOCK
AMAT,COMMON STOCK
AAOI,COMMON STOCK
APLT,COMMON STOCK
APP,COMMON STOCK
APCX,COMMON STOCK
APRE,COMMON STOCK
APVO,COMMON STOCK
APM,COMMON STOCK
APTO,COMMON STOCK
APXI,COMMON STOCK
APYX,COMMON STOCK
AQMS,COMMON STOCK
AQB,COMMON STOCK
AQU,COMMON STOCK
AQST,COMMON STOCK
ARBB,COMMON STOCK
ARBE,COMMON STOCK
ABUS,COMMON STOCK
RKDA,COMMON STOCK
ARCB,COMMON STOCK
ACLX,COMMON STOCK
ACGL,COMMON STOCK
ARCT,COMMON STOCK
ARQT,COMMON STOCK
ARDX,COMMON STOCK
ARCC,COMMON STOCK
ARHS,COMMON STOCK
ARKR,COMMON STOCK
ARKO,COMMON STOCK
BTOC,COMMON STOCK
ARQ,COMMON STOCK
ARQQ,COMMON STOCK
ARRY,COMMON STOCK
AVBP,COMMON STOCK
AROW,COMMON STOCK
ARWR,COMMON STOCK
BANX,COMMON STOCK
SPRY,COMMON STOCK
ARTW,COMMON STOCK
ARTL,COMMON STOCK
AIP,COMMON STOCK
ARTNA,COMMON STOCK
ARTV,COMMON STOCK
ARVN,COMMON STOCK
ACNT,COMMON STOCK
ASTI,COMMON STOCK
APWC,COMMON STOCK
ASPI,COMMON STOCK
AZPN,COMMON STOCK
AWH,COMMON STOCK
ASMB,COMMON STOCK
ASRT,COMMON STOCK
ASST,COMMON STOCK
ASTS,COMMON STOCK
ASTE,COMMON STOCK
ALAB,COMMON STOCK
ASTH,COMMON STOCK
ATXS,COMMON STOCK
ATRO,COMMON STOCK
ALOT,COMMON STOCK
ASTC,COMMON STOCK
ASUR,COMMON STOCK
ATAI,COMMON STOCK
ATRA,COMMON STOCK
AVIR,COMMON STOCK
ATER,COMMON STOCK
ATHA,COMMON STOCK
ATIF,COMMON STOCK
BATRA,COMMON STOCK
BATRK,COMMON STOCK
AAME,COMMON STOCK
AY,COMMON STOCK
ATLC,COMMON STOCK
ATLX,COMMON STOCK
TEAM,COMMON STOCK
ATNI,COMMON STOCK
ATOM,COMMON STOCK
ATOS,COMMON STOCK
ATRC,COMMON STOCK
ATYR,COMMON STOCK
AUBN,COMMON STOCK
AUUD,COMMON STOCK
AUDC,COMMON STOCK
AEYE,COMMON STOCK
AURA,COMMON STOCK
AUPH,COMMON STOCK
ACB,COMMON STOCK
AUR,COMMON STOCK
COOT,COMMON STOCK
AUID,COMMON STOCK
ADSK,COMMON STOCK
ADP,COMMON STOCK
AMIX,COMMON STOCK
AZI,COMMON STOCK
AVDL,COMMON STOCK
AVTX,COMMON STOCK
ALBT,COMMON STOCK
AVAH,COMMON STOCK
ATXI,COMMON STOCK
AVPT,COMMON STOCK
AVNW,COMMON STOCK
CDMO,COMMON STOCK
RNA,COMMON STOCK
AVDX,COMMON STOCK
AVGR,COMMON STOCK
CAR,COMMON STOCK
RCEL,COMMON STOCK
AVT,COMMON STOCK
AWRE,COMMON STOCK
ACLS,COMMON STOCK
AXGN,COMMON STOCK
AXON,COMMON STOCK
AXSM,COMMON STOCK
AXTI,COMMON STOCK
AYRO,COMMON STOCK
AYTU,COMMON STOCK
AZTA,COMMON STOCK
RILY,COMMON STOCK
BOSC,COMMON STOCK
BLZE,COMMON STOCK
RTC,COMMON STOCK
BDMD,COMMON STOCK
BKR,COMMON STOCK
BCPC,COMMON STOCK
BLDP,COMMON STOCK
BANF,COMMON STOCK
BAND,COMMON STOCK
BFC,COMMON STOCK
BMRC,COMMON STOCK
BOTJ,COMMON STOCK
OZK,COMMON STOCK
BSVN,COMMON STOCK
BFIN,COMMON STOCK
BWFG,COMMON STOCK
BANR,COMMON STOCK
BNIX,COMMON STOCK
BNZI,COMMON STOCK
BAOS,COMMON STOCK
BRFH,COMMON STOCK
BBSI,COMMON STOCK
BSET,COMMON STOCK
BCML,COMMON STOCK
BAFN,COMMON STOCK
BCBP,COMMON STOCK
BECN,COMMON STOCK
BEEM,COMMON STOCK
BEAM,COMMON STOCK
BMR,COMMON STOCK
BBGI,COMMON STOCK
BELFA,COMMON STOCK
BELFB,COMMON STOCK
BLAC,COMMON STOCK
BENF,COMMON STOCK
BNTC,COMMON STOCK
BHIL,COMMON STOCK
BSY,COMMON STOCK
BRY,COMMON STOCK
BETR,COMMON STOCK
XAIR,COMMON STOCK
BYND,COMMON STOCK
BYSI,COMMON STOCK
BGC,COMMON STOCK
BGM,COMMON STOCK
BCAX,COMMON STOCK
BGFV,COMMON STOCK
DSY,COMMON STOCK
BIGC,COMMON STOCK
BCG,COMMON STOCK
BKYI,COMMON STOCK
BPTH,COMMON STOCK
TECH,COMMON STOCK
BIAF,COMMON STOCK
BIOA,COMMON STOCK
BCAB,COMMON STOCK
BCDA,COMMON STOCK
BIOX,COMMON STOCK
BCRX,COMMON STOCK
BDSX,COMMON STOCK
BFRI,COMMON STOCK
BIIB,COMMON STOCK
BHST,COMMON STOCK
BLFS,COMMON STOCK
BMRN,COMMON STOCK
BMEA,COMMON STOCK
BMRA,COMMON STOCK
BNGO,COMMON STOCK
BGLC,COMMON STOCK
BIOR,COMMON STOCK
BRTX,COMMON STOCK
BSGM,COMMON STOCK
BTMD,COMMON STOCK
BVS,COMMON STOCK
BIVI,COMMON STOCK
BTAI,COMMON STOCK
BTBT,COMMON STOCK
BTOG,COMMON STOCK
BTM,COMMON STOCK
BTDR,COMMON STOCK
BITF,COMMON STOCK
FUFU,COMMON STOCK
BJRI,COMMON STOCK
BDTX,COMMON STOCK
BKHA,COMMON STOCK
BSII,COMMON STOCK
BLKB,COMMON STOCK
BLBX,COMMON STOCK
BL,COMMON STOCK
TCPC,COMMON STOCK
BLDE,COMMON STOCK
BLNK,COMMON STOCK
BLMN,COMMON STOCK
BLMZ,COMMON STOCK
BLBD,COMMON STOCK
BLFY,COMMON STOCK
BHAT,COMMON STOCK
BOCN,COMMON STOCK
BSFC,COMMON STOCK
BLUE,COMMON STOCK
BJDX,COMMON STOCK
BPMC,COMMON STOCK
BSBK,COMMON STOCK
BOKF,COMMON STOCK
BOLT,COMMON STOCK
BSLK,COMMON STOCK
BON,COMMON STOCK
BBLG,COMMON STOCK
BKNG,COMMON STOCK
BRLS,COMMON STOCK
BOLD,COMMON STOCK
BOWN,COMMON STOCK
BWMN,COMMON STOCK
BOXL,COMMON STOCK
BRAG,COMMON STOCK
BCLI,COMMON STOCK
BOF,COMMON STOCK
BNAI,COMMON STOCK
BRZE,COMMON STOCK
BNRG,COMMON STOCK
BREA,COMMON STOCK
BCTX,COMMON STOCK
BBIO,COMMON STOCK
BLIN,COMMON STOCK
BAER,COMMON STOCK
BWB,COMMON STOCK
BRID,COMMON STOCK
DRUG,COMMON STOCK
BCOV,COMMON STOCK
BHF,COMMON STOCK
BTSG,COMMON STOCK
BRLT,COMMON STOCK
BRAC,COMMON STOCK
AVGO,COMMON STOCK
BYFC,COMMON STOCK
BWEN,COMMON STOCK
BROG,COMMON STOCK
BRKL,COMMON STOCK
DOOO,COMMON STOCK
BRKR,COMMON STOCK
BTBD,COMMON STOCK
BTCT,COMMON STOCK
BTCS,COMMON STOCK
BUJA,COMMON STOCK
BFRG,COMMON STOCK
BMBL,COMMON STOCK
BHRB,COMMON STOCK
BRKH,COMMON STOCK
BFST,COMMON STOCK
BZFD,COMMON STOCK
BVFL,COMMON STOCK
BYNO,COMMON STOCK
BYRN,COMMON STOCK
CHRW,COMMON STOCK
CFFI,COMMON STOCK
CISS,COMMON STOCK
CCCC,COMMON STOCK
CABA,COMMON STOCK
CDNS,COMMON STOCK
CDZI,COMMON STOCK
CVKD,COMMON STOCK
CZR,COMMON STOCK
CSTE,COMMON STOCK
CALM,COMMON STOCK
CVGW,COMMON STOCK
CALC,COMMON STOCK
CWD,COMMON STOCK
BCAL,COMMON STOCK
CLMT,COMMON STOCK
CMBM,COMMON STOCK
CAC,COMMON STOCK
CAMP,COMMON STOCK
CAMT,COMMON STOCK
CSIQ,COMMON STOCK
CADL,COMMON STOCK
GOEV,COMMON STOCK
CGC,COMMON STOCK
CTLP,COMMON STOCK
CPHC,COMMON STOCK
CEP,COMMON STOCK
CBNK,COMMON STOCK
CCBG,COMMON STOCK
CCEC,COMMON STOCK
CSWC,COMMON STOCK
CFFN,COMMON STOCK
CAPR,COMMON STOCK
CAPT,COMMON STOCK
CARA,COMMON STOCK
HTCO,COMMON STOCK
CREV,COMMON STOCK
CRDF,COMMON STOCK
CDIO,COMMON STOCK
CRDL,COMMON STOCK
CDLX,COMMON STOCK
CCLD,COMMON STOCK
CDNA,COMMON STOCK
CMAX,COMMON STOCK
CRGX,COMMON STOCK
CARG,COMMON STOCK
CRBU,COMMON STOCK
CARM,COMMON STOCK
CGBD,COMMON STOCK
CTCX,COMMON STOCK
PRTS,COMMON STOCK
CARE,COMMON STOCK
RENE,COMMON STOCK
RNAC,COMMON STOCK
CITE,COMMON STOCK
CARV,COMMON STOCK
CWST,COMMON STOCK
CASY,COMMON STOCK
CASI,COMMON STOCK
CASS,COMMON STOCK
SAVA,COMMON STOCK
CSTL,COMMON STOCK
CTRM,COMMON STOCK
CLST,COMMON STOCK
CPRX,COMMON STOCK
CATY,COMMON STOCK
CVCO,COMMON STOCK
CAPN,COMMON STOCK
CBFV,COMMON STOCK
CBAT,COMMON STOCK
BANL,COMMON STOCK
CCCS,COMMON STOCK
CCTG,COMMON STOCK
CDTG,COMMON STOCK
CDW,COMMON STOCK
CEAD,COMMON STOCK
CECO,COMMON STOCK
CELC,COMMON STOCK
CLDX,COMMON STOCK
CLBT,COMMON STOCK
CLRB,COMMON STOCK
CELH,COMMON STOCK
CELU,COMMON STOCK
CETX,COMMON STOCK
CENN,COMMON STOCK
CENT,COMMON STOCK
CENTA,COMMON STOCK
CPBI,COMMON STOCK
ALF,COMMON STOCK
CENX,COMMON STOCK
CNTY,COMMON STOCK
IPSC,COMMON STOCK
CPTN,COMMON STOCK
CRNT,COMMON STOCK
CRNC,COMMON STOCK
CBLL,COMMON STOCK
CERO,COMMON STOCK
CERT,COMMON STOCK
CERS,COMMON STOCK
CRVO,COMMON STOCK
CEVA,COMMON STOCK
CFFS,COMMON STOCK
CFBK,COMMON STOCK
CFSB,COMMON STOCK
CGON,COMMON STOCK
CSBR,COMMON STOCK
CHX,COMMON STOCK
CHSN,COMMON STOCK
CTHR,COMMON STOCK
CHTR,COMMON STOCK
CCG,COMMON STOCK
CHKP,COMMON STOCK
